ID,Text,Comment
Tobbert.TrackRIntersection2x3.DisplayName,Switch Train Track 2x3,-
Tobbert.TrackRIntersection2x3.Description,A switch in the form of a R for trains.,-
Tobbert.TrackRIntersection2x3.FlavorDescription,Where R we going?,A joke of the letter R
Tobbert.GoodsStation.DisplayName,Goods station,-
Tobbert.GoodsStation.Description,"Allows for transportation of goods by trains. A good can either be send or received at a station. Goods received will only be moved to storages that are set to obtain.",-
Tobbert.GoodsStation.FlavorDescription,Look at all the goods it can hold.,-
Tobbert.PassengerStation.DisplayName,Passenger station,-
Tobbert.PassengerStation.Description,"This stations allows beavers to get on the train and travel to another station that are connected to each other.",-
Tobbert.PassengerStation.FlavorDescription,Beaver train!,-
Tobbert.PassengerStation.DistrictObjectToggle,Goes across districts:,-
Tobbert.PassengerStation.DistrictObject,When enabled will ONLY allow beavers to go passenger stations that also have this setting enabled and are in other districts.,-
Tobbert.PassengerStation.EmptyStation,There are currently no passengers waiting.,-
Tobbert.WaitingStation.DisplayName,Waiting Station,-
Tobbert.WaitingStation.Description,"Trains can wait here when they have nothing to do. This prevents trains from occupying the tracks. Trains cannot pathfind over this, so make sure its not in any crucial paths.",-
Tobbert.WaitingStation.FlavorDescription,When can I go again?,-
Tobbert.TrainYard.DisplayName,Train Yard,-
Tobbert.TrainYard.Description,A building that creates trains.,-
Tobbert.TrainYard.FlavorDescription,This is where trains are born.,-
Tobbert.TrainYard.CostOfTrain,Cost of 1 train:,-
Tobbert.TrainYard.CreateTrain,Build train,-
Tobbert.Train.PrefabName,Train,-
Tobbert.Wagon.PrefabName,Wagon,-
Tobbert.TrainModel.TrainModel,Train Model:,-
Tobbert.TrainModel.SmallLog,Small Log,-
Tobbert.TrainModel.BigWooden,Big Wooden,-
Tobbert.WagonModel.WagonModel,Wagon Model:,-
Tobbert.WagonModel.BoxWagon,Box Wagon,-
Tobbert.WagonModel.TankWagon,Tank Wagon,-
Tobbert.WagonModel.FlatWagon,Flat Wagon,-
Tobbert.WagonModel.FlipperWagon,Gondola Wagon,-
Tobbert.WagonModel.MetalCart,Metal Cart,-
Tobbert.WagonModel.PassengerWagon,Passenger Wagon,-
Tobbert.BatchControl.Trains,Trains,-
Tobbert.Train.Length,Train Length:,-
Tobbert.Train.Destroy,Are you sure you want to destroy this train?,-
Tobbert.GoodsStation.Distribution.Header,Distributed goods,-
Tobbert.GoodsStation.Distribution.Disabled.Info,Distribution disabled by distribution settings.,-
Tobbert.GoodsStation.Distribution.Sending.Info,Distribution set to sending by distribution settings.,-
Tobbert.GoodsStation.Distribution.Receiving.Info,Distribution set to receiving by distribution settings.,-
Tobbert.BatchControl.GoodsStation,Goods stations,-
Tobbert.BatchControl.DistributionDisabledAll,Disable all distribution,-
Tobbert.BatchControl.DistributionDisabled,Distribution disabled,-
Tobbert.BatchControl.DistributionDisabled.Description,Completely disable the distribution of this good at this station.,-
Tobbert.BatchControl.DistributionSendingAll,Allow sending of all goods,-
Tobbert.BatchControl.DistributionSending,Allow sending,-
Tobbert.BatchControl.DistributionSending.Description,Station can send this good to other station. The maximum amount that can be inside the station is determined by the amount to the right.,-
Tobbert.BatchControl.DistributionReceivingAll,Allow receiving of all goods,-
Tobbert.BatchControl.DistributionReceiving,Allow receiving,-
Tobbert.BatchControl.DistributionReceiving.Description,Station can receive this good that are sent from other stations. The maximum amount that can be inside the station is determined by the amount to the right.,-
Tobbert.BatchControl.DecreaseMaximum,Decrease max amount of goods,-
Tobbert.BatchControl.DecreaseMaximum.Description,Decrease the maximum amount that can be inside the station. Click is -1 and holding shift is -10. Max capacity is 200.,-
Tobbert.BatchControl.IncreaseMaximum,Increase max amount of goods,-
Tobbert.BatchControl.IncreaseMaximum.Description,Increase the maximum amount that can be inside the station. Click is +1 and holding shift is +10. Max capacity is 200.,-
Tobbert.TrackSystem.ToggleSectionDivider,Divides sections:,-
Tobbert.TrackSystem.ButtonChangeDirection,Change direction,-
Tobbert.TrackSystem.CollidingSectionDividers,Cannot connect 2 Section Dividers,-
Tobbert.ToolGroup.Trains,Trains,-
Tobbert.TrainYard.PreviewErrorMessage,Only 1 Train Yard can be build,-
Tobbert.Trains.UnlockPrompt,You need to unlock {0} to build {1}.,{0} stands for <Building>.DisplayName {1} stands for <TrackPiece>.DisplayName.
Tobbert.DistributionTrain.MinimumOfItemsToMove,Minimum of items to move:,-
Tobbert.TrainNavigation.Unstuck,Turn Around,-
Tobbert.TrainNavigation.NoWaitingStation,No available Waiting Station found.,-
Tobbert.TrainNavigation.NoWaitingStationShort,No Waiting Station,-
Tobbert.TrainDestination.UnconnectedWarning,Station is not connected to any other station.,-
Tobbert.TrainDestination.UnconnectedWarningShort,Unconnected station,-
Tobbert.ChooChooSettings.Header,Choo! Choo!,-
Tobbert.ChooChooSettings.DefaultTrainModel,Default Train model:,-
Tobbert.ChooChooSettings.DefaultWagonModel,Default Wagon model:,-
Tobbert.ChooChoo.KeyBindingGroup.ChooChoo,Choo! Choo!,-
Tobbert.ChooChoo.KeyBinding.GoodsStationDistributionControlTab,Open Goods Stations tab,-
